frame,bass,low_mid,mid,high_mid,high,beat,energy
269,0.090268,0.097883,0.090755,0.013299,0.003768,0.0,0.098122
270,0.103483,0.095287,0.052184,0.019447,0.005692,0.0,0.11053
271,0.092726,0.075721,0.054892,0.040522,0.003915,0.0,0.098472
272,0.092484,0.096042,0.088541,0.022735,0.002638,0.0,0.100169
273,0.106751,0.069745,0.108953,0.02152,0.001454,0.0,0.112646
274,0.121489,0.125304,0.175601,0.033295,0.003561,0.0,0.132332
275,0.106042,0.05123,0.147903,0.048913,0.002534,0.0,0.11114
276,0.107499,0.054453,0.171035,0.039523,0.002872,0.0,0.113123
277,0.101867,0.04268,0.174878,0.053316,0.006158,0.0,0.106735
278,0.109418,0.043468,0.15811,0.054155,0.007064,0.0,0.114061
279,0.107796,0.034606,0.200958,0.061095,0.007001,0.0,0.112386
280,0.094017,0.036518,0.231035,0.037528,0.005078,0.0,0.09922
281,0.08942,0.037728,0.187719,0.044721,0.006646,0.0,0.094174
282,0.08639,0.035528,0.207682,0.032922,0.00676,0.0,0.091253
283,0.102456,0.050783,0.24236,0.037589,0.006803,0.0,0.108811
284,0.119573,0.058948,0.272331,0.0664,0.005763,0.0,0.126862
285,0.100342,0.053148,0.212982,0.071679,0.008361,0.0,0.10655
286,0.089221,0.033548,0.217952,0.075372,0.007618,0.0,0.094129
287,0.096407,0.036194,0.214867,0.059481,0.009684,0.0,0.101388
288,0.084416,0.053449,0.223808,0.045775,0.012394,0.0,0.09087
289,0.094193,0.057466,0.25699,0.046315,0.008213,0.0,0.101322
290,0.111808,0.030413,0.210226,0.067905,0.011242,0.0,0.116193
291,0.106193,0.030851,0.2434,0.069317,0.011962,0.0,0.111106
292,0.099229,0.049011,0.352015,0.097632,0.010377,0.0,0.10707
293,0.113598,0.062022,0.30985,0.10131,0.010725,0.0,0.121732
294,0.106041,0.051679,0.309871,0.081514,0.013571,0.0,0.113428
295,0.095154,0.03473,0.261036,0.089522,0.01116,0.0,0.100715
296,0.10069,0.027058,0.215295,0.080482,0.014991,0.0,0.105001
297,0.09302,0.042539,0.282834,0.073987,0.013046,0.0,0.099446
298,0.084705,0.037562,0.358144,0.103789,0.016012,0.0,0.091899
299,0.094908,0.022837,0.352301,0.104816,0.016235,0.0,0.10085
300,0.092932,0.031806,0.287297,0.116369,0.015206,0.0,0.098696
301,0.101686,0.026947,0.278855,0.120051,0.014679,0.0,0.106912
302,0.102048,0.023819,0.325183,0.104197,0.012222,0.0,0.10764
303,0.100284,0.042151,0.418368,0.116795,0.019932,0.0,0.108541
304,0.088878,0.044044,0.283912,0.095991,0.0173,0.0,0.095502
305,0.105535,0.050224,0.31823,0.061945,0.018377,0.0,0.112897
306,0.093831,0.043701,0.380232,0.04906,0.0172,0.0,0.101616
307,0.086714,0.027622,0.279093,0.07892,0.009095,0.0,0.092036
308,0.088862,0.035084,0.256806,0.058657,0.009196,0.0,0.094385
309,0.072697,0.045632,0.071416,0.031382,0.003068,0.0,0.076564
310,0.093208,0.058536,0.159714,0.034331,0.004433,0.0,0.099083
311,0.10081,0.033361,0.165056,0.050397,0.003535,0.0,0.104854
312,0.104666,0.040312,0.210331,0.048416,0.002687,0.0,0.109809
313,0.092872,0.045834,0.24431,0.056348,0.002204,0.0,0.098991
314,0.095518,0.03861,0.233476,0.057961,0.004145,0.0,0.100934
315,0.104806,0.050167,0.284222,0.068303,0.003861,0.0,0.111719
316,0.098444,0.058315,0.335003,0.038738,0.005474,0.0,0.10665
317,0.102321,0.045902,0.386627,0.062136,0.008004,0.0,0.110315
318,0.109797,0.04607,0.345594,0.088868,0.004406,0.0,0.117236
319,0.124536,0.061422,0.27344,0.04526,0.004488,0.0,0.13195
320,0.132924,0.044727,0.285972,0.020211,0.003741,0.0,0.139157
321,0.113677,0.049724,0.027068,0.005962,0.00058,0.0,0.11689
322,0.063408,0.033787,0.024854,0.008456,0.000701,0.0,0.065792
323,0.140612,0.03068,0.042653,0.009714,0.001155,0.0,0.14242
324,0.164148,0.061583,0.037877,0.017407,0.001298,0.0,0.168026
325,0.136625,0.051305,0.050569,0.012221,0.00211,0.0,0.140111
326,0.155204,0.059722,0.04323,0.011103,0.001036,0.0,0.159073
327,0.161812,0.051207,0.063256,0.016093,0.000796,0.0,0.165278
328,0.156949,0.032442,0.046448,0.007159,0.000733,0.0,0.158811
329,0.167865,0.057944,0.047341,0.011317,0.001165,0.0,0.171562
330,0.141991,0.04075,0.035176,0.007186,0.001301,0.0,0.144433
331,0.132376,0.063415,0.036475,0.012779,0.001112,0.0,0.136605
332,0.13664,0.041476,0.052237,0.008533,0.000752,0.0,0.139411
333,0.140526,0.042772,0.046261,0.008583,0.000683,0.0,0.143283
334,0.135804,0.058728,0.047849,0.01138,0.001141,0.0,0.13981
335,0.141915,0.035948,0.04825,0.009903,0.001173,0.0,0.144182
336,0.139266,0.031015,0.030032,0.011312,0.001758,0.0,0.140941
337,0.137468,0.033779,0.038648,0.011877,0.001515,0.0,0.139481
338,0.132185,0.046027,0.034955,0.020178,0.001239,0.0,0.135114
339,0.118784,0.086093,0.032105,0.006839,0.001243,0.0,0.124735
340,0.128288,0.06535,0.027473,0.013213,0.001155,0.0,0.132571
341,0.135759,0.040707,0.036998,0.015395,0.001374,0.0,0.138284
342,0.118687,0.069344,0.050345,0.010835,0.001334,0.0,0.123647
343,0.131166,0.070239,0.028398,0.023168,0.00177,0.0,0.135821
